station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,nearby_distance,_ride_code_support,rental_uris
39,PL. PAU VILA (D),ELECTRICBIKESTATION,41.381046,2.186576,4.0,PL. PAU VILA (D),08039,44,True,1000.0,True,
40,"C/ DOCTOR AIGUADER, 2",ELECTRICBIKESTATION,41.382335,2.187093,6.0,"C/ DOCTOR AIGUADER, 2",08039,18,True,1000.0,True,
41,PL. POETA BOSCÀ/ATLÀNTIDA,ELECTRICBIKESTATION,41.379326,2.189906,5.0,PL. POETA BOSCÀ/ATLÀNTIDA,08003,25,True,1000.0,True,
42,"C/ CIUTAT DE GRANADA, 168 / AV. DIAGONAL",ELECTRICBIKESTATION,41.404511,2.189881,4.0,"C/ CIUTAT DE GRANADA, 168 / AV. DIAGONAL",08018,24,True,1000.0,True,
43,"C/ CLOT, 1",ELECTRICBIKESTATION,41.4063864,2.1874404,13.0,"C/ CLOT, 1",08018,27,True,1000.0,True,
44,"AV. MERIDIANA, 66 (COSTAT METRO GLORIES)",ELECTRICBIKESTATION,41.4018969,2.1871575,16.0,"AV. MERIDIANA, 66 ( COSTAT METRO GLORIES)",08018,13,True,1000.0,True,
45,"C/ SARDENYA, 66",ELECTRICBIKESTATION,41.3913036,2.189476,5.0,"C/ SARDENYA, 66",08005,27,True,1000.0,True,
46,"C/ RAMON TRIAS FARGAS, 19 (D)",ELECTRICBIKESTATION,41.3885744,2.1930099,7.0,"C/ RAMON TRIAS FARGAS, 19 (D)",08005,54,True,1000.0,True,
47,"C/ RAMON TRIAS FARGAS, 21",ELECTRICBIKESTATION,41.3902194,2.1904003,5.0,"C/ RAMON TRIAS FARGAS, 21",08005,47,True,1000.0,True,
48,"AV. MERIDIANA, 40",ELECTRICBIKESTATION,41.3960652,2.1871959,11.0,"AV. MERIDIANA, 40",08018,21,True,1000.0,True,
49,"C/ ROSA SENSAT, 20",ELECTRICBIKESTATION,41.3910756,2.1965766,5.0,"C/ ROSA SENSAT, 20",08005,21,True,1000.0,True,
50,"AV. PARAL.LEL, 54",ELECTRICBIKESTATION,41.3751145,2.1709386,8.0,"AV. PARAL.LEL, 54",08004,18,True,1000.0,True,
51,PL. VICENÇ MARTORELL,ELECTRICBIKESTATION,41.3842634,2.1692556,12.0,PL. VICENÇ MARTORELL,08001,20,True,1000.0,True,
52,"PL. SANT MIQUEL, 4",ELECTRICBIKESTATION,41.381708,2.177292,11.0,"PL. SANT MIQUEL, 4",08002,32,True,1000.0,True,
53,PL. CARLES PI I SUNYER,ELECTRICBIKESTATION,41.385086,2.174016,10.0,PL. CARLES PI I SUNYER,08002,21,True,1000.0,True,
54,"C/ SANT OLEGUER, 2",ELECTRICBIKESTATION,41.3775319,2.1707321,6.0,"C/ SANT OLEGUER, 2",08001,19,True,1000.0,True,
55,"LA RAMBLA, 80",ELECTRICBIKESTATION,41.3811923,2.1735007,8.0,"LA RAMBLA, 80",08002,19,True,1000.0,True,
56,"PORTAL DE SANTA MADRONA, 2-4",ELECTRICBIKESTATION,41.3770715,2.1758261,5.0,"PORTAL DE SANTA MADRONA, 2-4",08001,27,True,1000.0,True,
57,"RAMBLA, 6 (museo de cera)",ELECTRICBIKESTATION,41.377187,2.176757,4.0,"RAMBLA, 6",08002,25,True,1000.0,True,
58,PLAÇA DELS ÀNGELS (MACBA),ELECTRICBIKESTATION,41.38268,2.16712,11.0,PLAÇA DELS ÀNGELS (MACBA),08001,43,True,1000.0,True,
60,"RAMBLA CATALUNYA, 47",ELECTRICBIKESTATION,41.3902625,2.164035,27.0,"RAMBLA CATALUNYA, 47",08007,27,True,1000.0,True,
61,"C/ ARAGÓ, 288",ELECTRICBIKESTATION,41.39352,2.166797,26.0,"C/ ARAGÓ, 288",08009,20,True,1000.0,True,
62,"PL. CATALUNYA, 5",ELECTRICBIKESTATION,41.387235,2.168819,19.0,"PL. CATALUNYA, 5",08002,25,True,1000.0,True,
63,"PL. CATALUNYA, 7",ELECTRICBIKESTATION,41.386543,2.169427,19.0,"PL. CATALUNYA, 7",08002,27,True,1000.0,True,
64,"PL. CATALUNYA, 10-11 (RAMBLA)",ELECTRICBIKESTATION,41.387493,2.1690686,21.0,"PL. CATALUNYA, 10-11 (RAMBLA)",08002,21,True,1000.0,True,
65,"PL. CATALUNYA, 10-11 (PG. DE GRACIA)",ELECTRICBIKESTATION,41.387696,2.1696543,20.0,"PL. CATALUNYA, 10-11 (PG. DE GRACIA)",08002,21,True,1000.0,True,
66,"GRAN VIA DE LES CORTS CATALANES, 609",ELECTRICBIKESTATION,41.3893222,2.1678388,23.0,"GRAN VIA DE LES CORTS CATALANES, 609",08007,16,True,1000.0,True,
67,"C/ ROCAFORT, 214 / ROSSELLÓ",ELECTRICBIKESTATION,41.3852864,2.1454802,37.0,"C/ ROCAFORT, 214 / ROSSELLÓ",08029,24,True,1000.0,True,
68,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",ELECTRICBIKESTATION,41.3953894,2.1572953,44.0,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",08008,27,True,1000.0,True,
69,"CARRER DE LA MARINA,25-33",ELECTRICBIKESTATION,41.3881248,2.1951871,7.0,"CARRER DE LA MARINA,25-33",08005,43,True,1000.0,True,
70,"C/ COMTE URGELL, 23",ELECTRICBIKESTATION,41.380393,2.1606506,15.0,"C/ COMTE URGELL, 23",08011,27,True,1000.0,True,
71,"C/ FLORIDABLANCA, 145",ELECTRICBIKESTATION,41.3819459,2.1629146,16.0,"C/ FLORIDABLANCA, 145",08011,21,True,1000.0,True,
72,"UAB-C/ PROVENÇA, 215",ELECTRICBIKESTATION,41.3927771,2.1586273,37.0,"UAB-C/ PROVENÇA, 215",08008,27,True,1000.0,True,
73,"C/ ENRIC GRANADOS, 93",ELECTRICBIKESTATION,41.392135,2.1563542,39.0,"C/ ENRIC GRANADOS, 93",08008,26,True,1000.0,True,
74,"AV. JOSEP TARRADELLAS, 133",ELECTRICBIKESTATION,41.3900085,2.1432105,47.0,"AV. JOSEP TARRADELLAS, 133",08029,15,True,1000.0,True,
75,"AV. JOSEP TARRADELLAS, 58",ELECTRICBIKESTATION,41.385004,2.1429115,40.0,"AV. JOSEP TARRADELLAS, 58",08029,21,True,1000.0,True,
76,"C/ CÒRSEGA, 216",ELECTRICBIKESTATION,41.3917666,2.1532163,40.0,"C/ CÒRSEGA, 216",08036,32,True,1000.0,True,
77,"AV. FRANCESC CAMBÓ, 10",ELECTRICBIKESTATION,41.3855644,2.1773214,8.0,"AV. FRANCESC CAMBÓ, 10",08003,24,True,1000.0,True,
78,PL. UNIVERSITAT /  ARIBAU,ELECTRICBIKESTATION,41.3856474,2.1634306,21.0,PL. UNIVERSITAT /  ARIBAU,08011,27,True,1000.0,True,
79,PL.  UNIVERSITAT,ELECTRICBIKESTATION,41.385503,2.1634768,21.0,PL. UNIVERSITAT,08007,24,True,1000.0,True,
80,"C/ ENRIC  GRANADOS, 35",ELECTRICBIKESTATION,41.389668,2.1599078,31.0,"C/ ENRIC  GRANADOS, 35",08007,21,True,1000.0,True,
81,"C/ VILAMARÍ,  61",ELECTRICBIKESTATION,41.3790718,2.1490553,24.0,"C/ VILAMARÍ,  61",08015,21,True,1000.0,True,
82,"C/ CALÀBRIA, 112",ELECTRICBIKESTATION,41.38031805998654,2.1544371248113956,20.0,"C/ CALÀBRIA, 112",08015,40,True,1000.0,True,
83,"C/ CALABRIA, 158",ELECTRICBIKESTATION,41.3821658,2.1520645,25.0,"C/ CALABRIA, 158",08015,24,True,1000.0,True,
84,"C/ DEL COMTE D'URGELL, 75 B",ELECTRICBIKESTATION,41.3830299,2.1571646,20.0,"C/ DEL COMTE D'URGELL, 75 B",08011,27,True,1000.0,True,
85,"AV. PARAL·LEL, 146 BIS",ELECTRICBIKESTATION,41.3751852,2.1592394,15.0,"AV. PARAL·LEL, 146 BIS",08015,40,True,1000.0,True,
86,"C/ VILADOMAT,  2",ELECTRICBIKESTATION,41.3755747,2.1629349,12.0,"C/ VILADOMAT,  2",08015,27,True,1000.0,True,
87,"C/ MALLORCA, 41-43",ELECTRICBIKESTATION,41.3834802,2.1482099,29.0,"C/ MALLORCA, 41-43",08029,25,True,1000.0,True,
88,"C/ LONDRES, 101-103",ELECTRICBIKESTATION,41.3936144,2.1507739,45.0,"C/ LONDRES, 101-103",08036,20,True,1000.0,True,
89,"C/ ROSSELLÓ,  101",ELECTRICBIKESTATION,41.3879131,2.150342,36.0,"C/ ROSSELLÓ,  101",08036,27,True,1000.0,True,
90,"C/ ROSSELLÓ, 108-110",ELECTRICBIKESTATION,41.388296,2.150878,36.0,"C/ ROSSELLÓ, 108-110",08036,17,True,1000.0,True,
91,"C/ COMTE D'URGELL, 43",ELECTRICBIKESTATION,41.3812504,2.1594741,16.0,"C/ COMTE D'URGELL, 43",08011,35,True,1000.0,True,
92,"C / PROVENÇA, 241",ELECTRICBIKESTATION,41.3938861,2.1601641,37.0,"C / PROVENÇA, 241",08008,18,True,1000.0,True,
94,"GRAN VIA DE LES CORTS CATALANES,375",ELECTRICBIKESTATION,41.3757914,2.1499102,26.0,"GRAN  VIA DE LES CORTS CATALANES, 375-385",08015,48,True,1000.0,True,
95,"C/ TARRAGONA, 103-115",ELECTRICBIKESTATION,41.3763948,2.1473272,28.0,"C/ TARRAGONA, 103-115",08014,33,True,1000.0,True,
97,"C/ TARRAGONA, 141",ELECTRICBIKESTATION,41.3779613,2.1450491,29.0,"C/ TARRAGONA, 141",08014,21,True,1000.0,True,
98,"C/ VIRIAT, 43",ELECTRICBIKESTATION,41.3806074,2.1408633,31.0,"C/ VIRIAT, 43",08014,21,True,1000.0,True,
99,"C/ VIRIAT,  53",ELECTRICBIKESTATION,41.3808222,2.141539,30.0,"C/ VIRIAT,  53",08014,21,True,1000.0,True,
100,"C/ TARRAGONA,  159-173",ELECTRICBIKESTATION,41.3787064,2.1443579,29.0,"C/ TARRAGONA,  159-173",08014,22,True,1000.0,True,
101,"AV. DIAGONAL,  602",ELECTRICBIKESTATION,41.392878,2.143411,53.0,"AV. DIAGONAL, 602",08021,24,True,1000.0,True,
102,"AV. DIAGONAL,  612",ELECTRICBIKESTATION,41.392567,2.1422174,54.0,"AV. DIAGONAL,  612",08021,24,True,1000.0,True,
103,"C/ ARAGÓ, 629",ELECTRICBIKESTATION,41.410098,2.1884487,16.0,"C/ ARAGÓ, 629",08026,21,True,1000.0,True,
104,"C/ VALÈNCIA,  621",ELECTRICBIKESTATION,41.4108005,2.1872438,16.0,"C/ VALÈNCIA, 621",08026,26,True,1000.0,True,
105,"PL. URQUINAONA, 9-10",ELECTRICBIKESTATION,41.3888694,2.1735975,15.0,"PL. URQUINAONA, 9-10",08010,21,True,1000.0,True,
106,"PL  JOANIC - C / BRUNIQUER, 59",ELECTRICBIKESTATION,41.4055198,2.1622548,56.0,"PL  JOANIC - C / BRUNIQUER, 59",08024,20,True,1000.0,True,
107,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",ELECTRICBIKESTATION,41.3982304,2.1531031,56.0,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",08006,20,True,1000.0,True,
108,"C / INDÚSTRIA, 10",ELECTRICBIKESTATION,41.4022081,2.1649035,45.0,"C / INDÚSTRIA, 10",08037,21,True,1000.0,True,
109,"C/ LONDRES,  53",ELECTRICBIKESTATION,41.3912605,2.1476308,43.0,"C/ LONDRES,  53",08036,24,True,1000.0,True,
110,"AV. ROMA,  136",ELECTRICBIKESTATION,41.3852585,2.155089,25.0,"AV. ROMA,  136",08011,21,True,1000.0,True,
111,C/ ARAGÓN 147,ELECTRICBIKESTATION,41.3847528,2.1546746,21.0,C/ ARAGÓN 147,08015,19,True,1000.0,True,
112,"C/ FLORIDABLANCA,  49",ELECTRICBIKESTATION,41.3776721,2.157233,13.0,"C/ FLORIDABLANCA, 49",08015,20,True,1000.0,True,
113,"RONDA DE SANT PAU , 51",ELECTRICBIKESTATION,41.3773113,2.1646742,11.0,"RONDA DE SANT PAU, 51",08015,34,True,1000.0,True,
114,"PL. JEAN GENET,  1",ELECTRICBIKESTATION,41.376735,2.1740082,5.0,"PL. JEAN GENET,  1",08001,20,True,1000.0,True,
115,"AV. MARQUÉS DE L'ARGENTERA,  3",ELECTRICBIKESTATION,41.383597,2.184171,4.0,"AV. MARQUÉS DE L'ARGENTERA,  3",08003,21,True,1000.0,True,
116,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT",ELECTRICBIKESTATION,41.3838369,2.1914756,5.0,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",08003,27,True,1000.0,True,
117,"C/ ROSA SENSAT, 12",ELECTRICBIKESTATION,41.3906051,2.1972309,5.0,"C/ ROSA SENSAT, 12",08005,21,True,1000.0,True,
118,"C/ PUJADES,  3",ELECTRICBIKESTATION,41.39212,2.1874966,6.0,"C/ PUJADES,  3",08018,27,True,1000.0,True,
119,"C/ SARDENYA,  178",ELECTRICBIKESTATION,41.3967169,2.1825085,12.0,"C/ SARDENYA,  178",08013,39,True,1000.0,True,
120,"C/ LEPANT,  278",ELECTRICBIKESTATION,41.4047056,2.1765126,28.0,"C/ LEPANT,  278",08013,21,True,1000.0,True,
121,"C/ CASTILLEJOS, 258",ELECTRICBIKESTATION,41.4064529,2.1785364,28.0,"C/ CASTILLEJOS, 258",08013,21,True,1000.0,True,
122,"C/ NÀPOLS, 344",ELECTRICBIKESTATION,41.4054458,2.1663172,54.0,"C/ NÀPOLS, 344",08025,25,True,1000.0,True,
123,"C/ PROVENÇA, 317",ELECTRICBIKESTATION,41.3988184485363,2.166735224916682,34.0,"C/ PROVENÇA, 317",08037,21,True,1000.0,True,
124,C/ NOVA  BOCANA,ELECTRICBIKESTATION,41.3702483,2.1878126,3.0,C/ NOVA  BOCANA,08039,31,True,1000.0,True,
125,"PG. MARíTIM, 31 B (ANNEXA A LA  12)",ELECTRICBIKESTATION,41.3834753,2.194735,7.0,"PG. MARíTIM, 31 B (ANNEXA A LA  12)",08003,21,True,1000.0,True,
126,PG. DE COLOM /VIA LAIETANA,ELECTRICBIKESTATION,41.380628,2.1822815,4.0,PG. DE COLOM /VIA LAIETANA,08002,23,True,1000.0,True,
127,"C/ ARAGÓ, 659 / NAVAS DE TOLOSA",ELECTRICBIKESTATION,41.4120681,2.1907524,16.0,"C/ ARAGÓ, 659 /NAVAS DE TOLOSA",08026,27,True,1000.0,True,
128,"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",ELECTRICBIKESTATION,41.4158412,2.1959771,10.0,"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",08020,43,True,1000.0,True,
129,"C/ MANSO, 46",ELECTRICBIKESTATION,41.377046,2.16113608,13.0,"C/ MANSO, 46",08015,23,True,1000.0,True,
130,"RAMBLA DE GUIPÚSCOA, 103 / CANTÀBRIA",ELECTRICBIKESTATION,41.4200135,2.2016699,8.0,"RAMBLA DE GUIPÚSCOA, 103 /CANTÀBRIA",08020,24,True,1000.0,True,
131,"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",ELECTRICBIKESTATION,41.4227912,2.2060317,11.0,"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",08020,27,True,1000.0,True,
132,PL. VALENTÍ ALMIRALL,ELECTRICBIKESTATION,41.4084796,2.192042,6.0,PL.VALENTÍ ALMIRALL,08018,27,True,1000.0,True,
133,"GRAN VIA DE LES CORTS CATALANES,  902",ELECTRICBIKESTATION,41.4075013,2.1930174,6.0,"GRAN VIA DE LES CORTS CATALANES, 902",08018,16,True,1000.0,True,
134,"C/ BAC DE RODA, 157",ELECTRICBIKESTATION,41.4113024,2.1987258,6.0,"C/ BAC DE RODA, 157",08018,21,True,1000.0,True,
135,"GRAN VIA DE LES CORTS CATALANES,  981",ELECTRICBIKESTATION,41.4120452,2.1972673,8.0,"GRAN VIA DE LES CORTS CATALANES,  981",08018,21,True,1000.0,True,
136,"GRAN VIA DE LES CORTS CATALANES,  1062",ELECTRICBIKESTATION,41.4139298,2.2017955,8.0,"GRAN VIA DE LES CORTS CATALANES,  1062",08020,31,True,1000.0,True,
137,"GRAN VIA DE LES CORTS CATALANES , 1041",ELECTRICBIKESTATION,41.4145805,2.2008139,7.0,"GRAN VIA DE LES CORTS CATALANES, 1041",08020,25,True,1000.0,True,
138,"GRAN VIA DE LES CORTS CATALANES,  1118",ELECTRICBIKESTATION,41.4167933,2.2058345,7.0,"GRAN VIA DE LES CORTS CATALANES, 1118",08020,21,True,1000.0,True,
139,"GRAN VIA DE LES CORTS CATALANES,  1131",ELECTRICBIKESTATION,41.4183999,2.2058133,7.0,"GRAN VIA DE LES CORTS CATALANES,  1131",08020,35,True,1000.0,True,
140,"C/ VILADOMAT,  122",ELECTRICBIKESTATION,41.3808772,2.1559939,19.0,"C/ VILADOMAT, 122",08015,27,True,1000.0,True,
141,"C/ BILBAO, 174",ELECTRICBIKESTATION,41.4090202,2.1954152,7.0,"C/ BILBAO, 174",08018,32,True,1000.0,True,
142,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",ELECTRICBIKESTATION,41.4003793,2.1924144,4.0,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",08018,32,True,1000.0,True,
143,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",ELECTRICBIKESTATION,41.4027907,2.1956161,4.0,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",08018,27,True,1000.0,True,
144,"C/ CASTELLA,  28 / DIAGONAL",ELECTRICBIKESTATION,41.4056269,2.1977119,4.0,"C/ CASTELLA,  28 / DIAGONAL",08018,27,True,1000.0,True,
